vehicle_id,week_start_date,ft_torque_util_60pct_s,ft_torque_util_70pct_s,ft_torque_util_80pct_s,ft_torque_util_90pct_s,ft_horsepower_util_50pct_s,ft_horsepower_util_60pct_s,ft_horsepower_util_70pct_s,ft_horsepower_util_80pct_s,ft_rpm_util_50pct_s,ft_rpm_util_60pct_s
1000508,2017-01-09,321,93276,112694,336,0,0,0,0,0,0
1000508,2017-01-16,11,7174,259,0,0,0,0,0,0,0
1000508,2017-01-23,91,36981,41391,111,0,0,0,0,0,0
1000508,2017-01-30,120,35708,27538,9,0,0,0,0,0,0
1000508,2017-02-06,40,25726,1432,0,0,0,0,0,0,0
1000508,2017-02-13,18,8251,9162,69,0,0,0,0,0,0
1000508,2017-02-20,121,43085,40445,165,0,0,0,0,0,0
1000508,2017-02-27,26,5759,55,0,0,0,0,0,0,0
1000509,2017-01-02,9,14273,20634,43,0,0,0,0,0,0
1000509,2017-01-09,125,69989,84693,108,0,0,0,0,0,0
1000509,2017-01-16,0,18683,14821,0,0,0,0,0,0,0
1000509,2017-01-23,106,51011,24176,65,0,0,0,0,0,0
1000509,2017-01-30,5,10856,22997,118,0,0,0,0,0,0
1000509,2017-02-06,25,16626,16042,1,0,0,0,0,0,0
1000509,2017-02-13,0,5875,1318,0,0,0,0,0,0,0
1000509,2017-02-20,21,31129,5050,0,0,0,0,0,0,0
1000509,2017-02-27,111,20882,10379,0,0,0,0,0,0,0
1000510,2017-01-02,61,32557,8985,0,0,0,0,0,0,0
1000510,2017-01-09,168,97205,92840,410,0,0,0,0,0,0
1000510,2017-01-16,0,3526,9077,0,0,0,0,0,0,0
1000510,2017-01-23,80,40682,28462,212,0,0,0,0,0,0
1000510,2017-01-30,66,15428,25162,81,0,0,0,0,0,0
1000510,2017-02-06,0,10281,1781,0,0,0,0,0,0,0
1000510,2017-02-13,67,7075,1595,10,0,0,0,0,0,0
1000510,2017-02-20,37,13401,31615,251,0,0,0,0,0,0
1000510,2017-02-27,0,414,9588,90,0,0,0,0,0,0
1000511,2017-01-02,38,29447,19921,84,0,0,0,0,0,0
1000511,2017-01-09,94,77733,84750,84,0,0,0,0,0,0
1000511,2017-01-16,0,9867,24938,55,0,0,0,0,0,0
1000511,2017-01-23,66,36763,19325,207,0,0,0,0,0,0
1000511,2017-01-30,0,15308,43130,80,0,0,0,0,0,0
1000511,2017-02-06,4,1944,5952,0,0,0,0,0,0,0
1000511,2017-02-13,118,10831,2542,0,0,0,0,0,0,0
1000511,2017-02-20,110,27623,28439,22,0,0,0,0,0,0
1000511,2017-02-27,0,2515,2450,0,0,0,0,0,0,0
